,consulta usuario,respuesta positiva,respuesta negativa 1,respuesta negativa 2,respuesta negativa 3
10,¿Cuántas operaciones quirúrgicas de rodilla se han realizado en hospitales públicos en el último año y cuál ha sido su tasa de éxito?,"Transforma consultas en lenguaje natural a código SQL, ejecuta consultas en la base de datos y proporciona informes detallados de los resultados en lenguaje natural.","Analiza datos de sistemas HVAC para detectar anomalías usando modelos de machine learning, preprocesa datos, realiza predicciones y entrega un informe detallado con observaciones relevantes y predicciones sobre el estado del sistema.","Procesa documentos para extracción de texto mediante OCR y detecta objetos escritos a mano como firmas, iniciales, redacciones o fechas usando un modelo YOLO ajustado, y ofrece una traducción y resumen del contenido destacando información clave e indicando la ubicación del contenido manuscrito.","Interactúa en conversaciones generales, respondiendo a preguntas y proporcionando información o asistencia sobre temas variados que no requieren acceso a bases de datos específicas, análisis de anomalías o procesamiento de documentos."
11,Proporciona el número de transacciones inmobiliarias en la costa mediterránea que involucran propiedades con un valor superior a 500.000 euros.,"Transforma consultas en lenguaje natural a código SQL, ejecuta consultas en la base de datos y proporciona informes detallados de los resultados en lenguaje natural.","Analiza datos de sistemas HVAC para detectar anomalías usando modelos de machine learning, preprocesa datos, realiza predicciones y entrega un informe detallado con observaciones relevantes y predicciones sobre el estado del sistema.","Procesa documentos para extracción de texto mediante OCR y detecta objetos escritos a mano como firmas, iniciales, redacciones o fechas usando un modelo YOLO ajustado, y ofrece una traducción y resumen del contenido destacando información clave e indicando la ubicación del contenido manuscrito.","Interactúa en conversaciones generales, respondiendo a preguntas y proporcionando información o asistencia sobre temas variados que no requieren acceso a bases de datos específicas, análisis de anomalías o procesamiento de documentos."
12,Detalla el porcentaje de estudiantes que obtuvieron una puntuación superior al promedio nacional en el examen de admisión universitaria por región.,"Transforma consultas en lenguaje natural a código SQL, ejecuta consultas en la base de datos y proporciona informes detallados de los resultados en lenguaje natural.","Analiza datos de sistemas HVAC para detectar anomalías usando modelos de machine learning, preprocesa datos, realiza predicciones y entrega un informe detallado con observaciones relevantes y predicciones sobre el estado del sistema.","Procesa documentos para extracción de texto mediante OCR y detecta objetos escritos a mano como firmas, iniciales, redacciones o fechas usando un modelo YOLO ajustado, y ofrece una traducción y resumen del contenido destacando información clave e indicando la ubicación del contenido manuscrito.","Interactúa en conversaciones generales, respondiendo a preguntas y proporcionando información o asistencia sobre temas variados que no requieren acceso a bases de datos específicas, análisis de anomalías o procesamiento de documentos."
13,"Enumera los restaurantes que han obtenido una estrella Michelin y que ofrecen opciones vegetarianas en su menú, incluyendo la ubicación y el nombre del chef.","Transforma consultas en lenguaje natural a código SQL, ejecuta consultas en la base de datos y proporciona informes detallados de los resultados en lenguaje natural.","Analiza datos de sistemas HVAC para detectar anomalías usando modelos de machine learning, preprocesa datos, realiza predicciones y entrega un informe detallado con observaciones relevantes y predicciones sobre el estado del sistema.","Procesa documentos para extracción de texto mediante OCR y detecta objetos escritos a mano como firmas, iniciales, redacciones o fechas usando un modelo YOLO ajustado, y ofrece una traducción y resumen del contenido destacando información clave e indicando la ubicación del contenido manuscrito.","Interactúa en conversaciones generales, respondiendo a preguntas y proporcionando información o asistencia sobre temas variados que no requieren acceso a bases de datos específicas, análisis de anomalías o procesamiento de documentos."
14,Dame los nombres de los actores y actrices que hayan participado en peliculas con una duracion superior 180 minutos. incluye tambien la duración exacta de la pelicula,"Transforma consultas en lenguaje natural a código SQL, ejecuta consultas en la base de datos y proporciona informes detallados de los resultados en lenguaje natural.","Analiza datos de sistemas HVAC para detectar anomalías usando modelos de machine learning, preprocesa datos, realiza predicciones y entrega un informe detallado con observaciones relevantes y predicciones sobre el estado del sistema.","Procesa documentos para extracción de texto mediante OCR y detecta objetos escritos a mano como firmas, iniciales, redacciones o fechas usando un modelo YOLO ajustado, y ofrece una traducción y resumen del contenido destacando información clave e indicando la ubicación del contenido manuscrito.","Interactúa en conversaciones generales, respondiendo a preguntas y proporcionando información o asistencia sobre temas variados que no requieren acceso a bases de datos específicas, análisis de anomalías o procesamiento de documentos."
15,"¿Que precio tienen las peliculas en las que ha trabajado el actor o actores con más películas?, devuelve el nombre de las películas y el actor o actores que hayan trabajado en ellas cuyos nombres empiezen por las primeras tres letras del abecedario?","Transforma consultas en lenguaje natural a código SQL, ejecuta consultas en la base de datos y proporciona informes detallados de los resultados en lenguaje natural.","Analiza datos de sistemas HVAC para detectar anomalías usando modelos de machine learning, preprocesa datos, realiza predicciones y entrega un informe detallado con observaciones relevantes y predicciones sobre el estado del sistema.","Procesa documentos para extracción de texto mediante OCR y detecta objetos escritos a mano como firmas, iniciales, redacciones o fechas usando un modelo YOLO ajustado, y ofrece una traducción y resumen del contenido destacando información clave e indicando la ubicación del contenido manuscrito.","Interactúa en conversaciones generales, respondiendo a preguntas y proporcionando información o asistencia sobre temas variados que no requieren acceso a bases de datos específicas, análisis de anomalías o procesamiento de documentos."
16,Muestra todas las secuencias de ARN que tienen una longitud mayor a 200 nucleótidos,"Transforma consultas en lenguaje natural a código SQL, ejecuta consultas en la base de datos y proporciona informes detallados de los resultados en lenguaje natural.","Analiza datos de sistemas HVAC para detectar anomalías usando modelos de machine learning, preprocesa datos, realiza predicciones y entrega un informe detallado con observaciones relevantes y predicciones sobre el estado del sistema.","Procesa documentos para extracción de texto mediante OCR y detecta objetos escritos a mano como firmas, iniciales, redacciones o fechas usando un modelo YOLO ajustado, y ofrece una traducción y resumen del contenido destacando información clave e indicando la ubicación del contenido manuscrito.","Interactúa en conversaciones generales, respondiendo a preguntas y proporcionando información o asistencia sobre temas variados que no requieren acceso a bases de datos específicas, análisis de anomalías o procesamiento de documentos."
17,Encuentra las entradas de ARN que han sido identificadas en organismos específicos como 'Homo sapiens',"Transforma consultas en lenguaje natural a código SQL, ejecuta consultas en la base de datos y proporciona informes detallados de los resultados en lenguaje natural.","Analiza datos de sistemas HVAC para detectar anomalías usando modelos de machine learning, preprocesa datos, realiza predicciones y entrega un informe detallado con observaciones relevantes y predicciones sobre el estado del sistema.","Procesa documentos para extracción de texto mediante OCR y detecta objetos escritos a mano como firmas, iniciales, redacciones o fechas usando un modelo YOLO ajustado, y ofrece una traducción y resumen del contenido destacando información clave e indicando la ubicación del contenido manuscrito.","Interactúa en conversaciones generales, respondiendo a preguntas y proporcionando información o asistencia sobre temas variados que no requieren acceso a bases de datos específicas, análisis de anomalías o procesamiento de documentos."
18,Obtén los nombres de los investigadores que han contribuido con más de 10 secuencias de ARN a la base de datos.,"Transforma consultas en lenguaje natural a código SQL, ejecuta consultas en la base de datos y proporciona informes detallados de los resultados en lenguaje natural.","Analiza datos de sistemas HVAC para detectar anomalías usando modelos de machine learning, preprocesa datos, realiza predicciones y entrega un informe detallado con observaciones relevantes y predicciones sobre el estado del sistema.","Procesa documentos para extracción de texto mediante OCR y detecta objetos escritos a mano como firmas, iniciales, redacciones o fechas usando un modelo YOLO ajustado, y ofrece una traducción y resumen del contenido destacando información clave e indicando la ubicación del contenido manuscrito.","Interactúa en conversaciones generales, respondiendo a preguntas y proporcionando información o asistencia sobre temas variados que no requieren acceso a bases de datos específicas, análisis de anomalías o procesamiento de documentos."
19,"List the top 5 most rented movies from the 'dvd_rental' database last year, including the number of times they were rented.","Transforma consultas en lenguaje natural a código SQL, ejecuta consultas en la base de datos y proporciona informes detallados de los resultados en lenguaje natural.","Analiza datos de sistemas HVAC para detectar anomalías usando modelos de machine learning, preprocesa datos, realiza predicciones y entrega un informe detallado con observaciones relevantes y predicciones sobre el estado del sistema.","Procesa documentos para extracción de texto mediante OCR y detecta objetos escritos a mano como firmas, iniciales, redacciones o fechas usando un modelo YOLO ajustado, y ofrece una traducción y resumen del contenido destacando información clave e indicando la ubicación del contenido manuscrito.","Interactúa en conversaciones generales, respondiendo a preguntas y proporcionando información o asistencia sobre temas variados que no requieren acceso a bases de datos específicas, análisis de anomalías o procesamiento de documentos."
20,"Indica los cinco alimentos más ricos en vitamina C de la base de datos de nutrición, excluyendo aquellos con más de 5 gramos de azúcar por porción.","Transforma consultas en lenguaje natural a código SQL, ejecuta consultas en la base de datos y proporciona informes detallados de los resultados en lenguaje natural.","Analiza datos de sistemas HVAC para detectar anomalías usando modelos de machine learning, preprocesa datos, realiza predicciones y entrega un informe detallado con observaciones relevantes y predicciones sobre el estado del sistema.","Procesa documentos para extracción de texto mediante OCR y detecta objetos escritos a mano como firmas, iniciales, redacciones o fechas usando un modelo YOLO ajustado, y ofrece una traducción y resumen del contenido destacando información clave e indicando la ubicación del contenido manuscrito.","Interactúa en conversaciones generales, respondiendo a preguntas y proporcionando información o asistencia sobre temas variados que no requieren acceso a bases de datos específicas, análisis de anomalías o procesamiento de documentos."
21,Display the average cost of flights from Madrid to Rome for each airline in the 'flights' database for the past six months.,"Transforma consultas en lenguaje natural a código SQL, ejecuta consultas en la base de datos y proporciona informes detallados de los resultados en lenguaje natural.","Analiza datos de sistemas HVAC para detectar anomalías usando modelos de machine learning, preprocesa datos, realiza predicciones y entrega un informe detallado con observaciones relevantes y predicciones sobre el estado del sistema.","Procesa documentos para extracción de texto mediante OCR y detecta objetos escritos a mano como firmas, iniciales, redacciones o fechas usando un modelo YOLO ajustado, y ofrece una traducción y resumen del contenido destacando información clave e indicando la ubicación del contenido manuscrito.","Interactúa en conversaciones generales, respondiendo a preguntas y proporcionando información o asistencia sobre temas variados que no requieren acceso a bases de datos específicas, análisis de anomalías o procesamiento de documentos."
22,Muestra la relación entre el contenido en grasas y el precio por unidad de los productos de carne en la base de datos de nutrición.,"Transforma consultas en lenguaje natural a código SQL, ejecuta consultas en la base de datos y proporciona informes detallados de los resultados en lenguaje natural.","Analiza datos de sistemas HVAC para detectar anomalías usando modelos de machine learning, preprocesa datos, realiza predicciones y entrega un informe detallado con observaciones relevantes y predicciones sobre el estado del sistema.","Procesa documentos para extracción de texto mediante OCR y detecta objetos escritos a mano como firmas, iniciales, redacciones o fechas usando un modelo YOLO ajustado, y ofrece una traducción y resumen del contenido destacando información clave e indicando la ubicación del contenido manuscrito.","Interactúa en conversaciones generales, respondiendo a preguntas y proporcionando información o asistencia sobre temas variados que no requieren acceso a bases de datos específicas, análisis de anomalías o procesamiento de documentos."
23,Retrieve the list of RNA sequences longer than 500 nucleotides that were added to 'rna_central' in the last two years.,"Transforma consultas en lenguaje natural a código SQL, ejecuta consultas en la base de datos y proporciona informes detallados de los resultados en lenguaje natural.","Analiza datos de sistemas HVAC para detectar anomalías usando modelos de machine learning, preprocesa datos, realiza predicciones y entrega un informe detallado con observaciones relevantes y predicciones sobre el estado del sistema.","Procesa documentos para extracción de texto mediante OCR y detecta objetos escritos a mano como firmas, iniciales, redacciones o fechas usando un modelo YOLO ajustado, y ofrece una traducción y resumen del contenido destacando información clave e indicando la ubicación del contenido manuscrito.","Interactúa en conversaciones generales, respondiendo a preguntas y proporcionando información o asistencia sobre temas variados que no requieren acceso a bases de datos específicas, análisis de anomalías o procesamiento de documentos."
24,Encuentra todos los vuelos que salieron con más de dos horas de retraso desde el aeropuerto de Hellsinki el pasado mes de agosto.,"Transforma consultas en lenguaje natural a código SQL, ejecuta consultas en la base de datos y proporciona informes detallados de los resultados en lenguaje natural.","Analiza datos de sistemas HVAC para detectar anomalías usando modelos de machine learning, preprocesa datos, realiza predicciones y entrega un informe detallado con observaciones relevantes y predicciones sobre el estado del sistema.","Procesa documentos para extracción de texto mediante OCR y detecta objetos escritos a mano como firmas, iniciales, redacciones o fechas usando un modelo YOLO ajustado, y ofrece una traducción y resumen del contenido destacando información clave e indicando la ubicación del contenido manuscrito.","Interactúa en conversaciones generales, respondiendo a preguntas y proporcionando información o asistencia sobre temas variados que no requieren acceso a bases de datos específicas, análisis de anomalías o procesamiento de documentos."
25,List the nutritional facts for all food items in the 'nutrition' database that are labeled as 'organic' and have more than 5 grams of fiber.,"Transforma consultas en lenguaje natural a código SQL, ejecuta consultas en la base de datos y proporciona informes detallados de los resultados en lenguaje natural.","Analiza datos de sistemas HVAC para detectar anomalías usando modelos de machine learning, preprocesa datos, realiza predicciones y entrega un informe detallado con observaciones relevantes y predicciones sobre el estado del sistema.","Procesa documentos para extracción de texto mediante OCR y detecta objetos escritos a mano como firmas, iniciales, redacciones o fechas usando un modelo YOLO ajustado, y ofrece una traducción y resumen del contenido destacando información clave e indicando la ubicación del contenido manuscrito.","Interactúa en conversaciones generales, respondiendo a preguntas y proporcionando información o asistencia sobre temas variados que no requieren acceso a bases de datos específicas, análisis de anomalías o procesamiento de documentos."
26,Detalla cuáles son los actores de la base de datos 'dvd_rental' que han participado en comedias románticas y han ganado algún premio cinematográfico.,"Transforma consultas en lenguaje natural a código SQL, ejecuta consultas en la base de datos y proporciona informes detallados de los resultados en lenguaje natural.","Analiza datos de sistemas HVAC para detectar anomalías usando modelos de machine learning, preprocesa datos, realiza predicciones y entrega un informe detallado con observaciones relevantes y predicciones sobre el estado del sistema.","Procesa documentos para extracción de texto mediante OCR y detecta objetos escritos a mano como firmas, iniciales, redacciones o fechas usando un modelo YOLO ajustado, y ofrece una traducción y resumen del contenido destacando información clave e indicando la ubicación del contenido manuscrito.","Interactúa en conversaciones generales, respondiendo a preguntas y proporcionando información o asistencia sobre temas variados que no requieren acceso a bases de datos específicas, análisis de anomalías o procesamiento de documentos."
27,Show the changes in average flight prices to New York from the 'flights' database during major holidays like Christmas and New Year's Eve.,"Transforma consultas en lenguaje natural a código SQL, ejecuta consultas en la base de datos y proporciona informes detallados de los resultados en lenguaje natural.","Analiza datos de sistemas HVAC para detectar anomalías usando modelos de machine learning, preprocesa datos, realiza predicciones y entrega un informe detallado con observaciones relevantes y predicciones sobre el estado del sistema.","Procesa documentos para extracción de texto mediante OCR y detecta objetos escritos a mano como firmas, iniciales, redacciones o fechas usando un modelo YOLO ajustado, y ofrece una traducción y resumen del contenido destacando información clave e indicando la ubicación del contenido manuscrito.","Interactúa en conversaciones generales, respondiendo a preguntas y proporcionando información o asistencia sobre temas variados que no requieren acceso a bases de datos específicas, análisis de anomalías o procesamiento de documentos."
28,Identifica los restaurantes incluidos en la base de datos de nutrición que ofrecen opciones sin gluten y tienen una calificación de higiene superior a 4.,"Transforma consultas en lenguaje natural a código SQL, ejecuta consultas en la base de datos y proporciona informes detallados de los resultados en lenguaje natural.","Analiza datos de sistemas HVAC para detectar anomalías usando modelos de machine learning, preprocesa datos, realiza predicciones y entrega un informe detallado con observaciones relevantes y predicciones sobre el estado del sistema.","Procesa documentos para extracción de texto mediante OCR y detecta objetos escritos a mano como firmas, iniciales, redacciones o fechas usando un modelo YOLO ajustado, y ofrece una traducción y resumen del contenido destacando información clave e indicando la ubicación del contenido manuscrito.","Interactúa en conversaciones generales, respondiendo a preguntas y proporcionando información o asistencia sobre temas variados que no requieren acceso a bases de datos específicas, análisis de anomalías o procesamiento de documentos."
29,"From the 'dvd_rental' database, find the average rental duration for dramas compared to action movies over the last five years.","Transforma consultas en lenguaje natural a código SQL, ejecuta consultas en la base de datos y proporciona informes detallados de los resultados en lenguaje natural.","Analiza datos de sistemas HVAC para detectar anomalías usando modelos de machine learning, preprocesa datos, realiza predicciones y entrega un informe detallado con observaciones relevantes y predicciones sobre el estado del sistema.","Procesa documentos para extracción de texto mediante OCR y detecta objetos escritos a mano como firmas, iniciales, redacciones o fechas usando un modelo YOLO ajustado, y ofrece una traducción y resumen del contenido destacando información clave e indicando la ubicación del contenido manuscrito.","Interactúa en conversaciones generales, respondiendo a preguntas y proporcionando información o asistencia sobre temas variados que no requieren acceso a bases de datos específicas, análisis de anomalías o procesamiento de documentos."
30,What is the frequency of RNA sequence submissions from 'Homo sapiens' in 'rna_central' during the last decade?,"Transforma consultas en lenguaje natural a código SQL, ejecuta consultas en la base de datos y proporciona informes detallados de los resultados en lenguaje natural.","Analiza datos de sistemas HVAC para detectar anomalías usando modelos de machine learning, preprocesa datos, realiza predicciones y entrega un informe detallado con observaciones relevantes y predicciones sobre el estado del sistema.","Procesa documentos para extracción de texto mediante OCR y detecta objetos escritos a mano como firmas, iniciales, redacciones o fechas usando un modelo YOLO ajustado, y ofrece una traducción y resumen del contenido destacando información clave e indicando la ubicación del contenido manuscrito.","Interactúa en conversaciones generales, respondiendo a preguntas y proporcionando información o asistencia sobre temas variados que no requieren acceso a bases de datos específicas, análisis de anomalías o procesamiento de documentos."
31,Lista todos los alimentos que contengan omega-3 y no excedan las 120 kcal por cada 100 gramos.,"Transforma consultas en lenguaje natural a código SQL, ejecuta consultas en la base de datos y proporciona informes detallados de los resultados en lenguaje natural.","Analiza datos de sistemas HVAC para detectar anomalías usando modelos de machine learning, preprocesa datos, realiza predicciones y entrega un informe detallado con observaciones relevantes y predicciones sobre el estado del sistema.","Procesa documentos para extracción de texto mediante OCR y detecta objetos escritos a mano como firmas, iniciales, redacciones o fechas usando un modelo YOLO ajustado, y ofrece una traducción y resumen del contenido destacando información clave e indicando la ubicación del contenido manuscrito.","Interactúa en conversaciones generales, respondiendo a preguntas y proporcionando información o asistencia sobre temas variados que no requieren acceso a bases de datos específicas, análisis de anomalías o procesamiento de documentos."
32,Provide the names of all airlines that have increased their number of flights by more than 20% from 2019 to 2023 according to the 'flights' database.,"Transforma consultas en lenguaje natural a código SQL, ejecuta consultas en la base de datos y proporciona informes detallados de los resultados en lenguaje natural.","Analiza datos de sistemas HVAC para detectar anomalías usando modelos de machine learning, preprocesa datos, realiza predicciones y entrega un informe detallado con observaciones relevantes y predicciones sobre el estado del sistema.","Procesa documentos para extracción de texto mediante OCR y detecta objetos escritos a mano como firmas, iniciales, redacciones o fechas usando un modelo YOLO ajustado, y ofrece una traducción y resumen del contenido destacando información clave e indicando la ubicación del contenido manuscrito.","Interactúa en conversaciones generales, respondiendo a preguntas y proporcionando información o asistencia sobre temas variados que no requieren acceso a bases de datos específicas, análisis de anomalías o procesamiento de documentos."
33,¿Cuál es la tarifa media de los vuelos directos a Tokio desde Londres para cada aerolínea durante la temporada alta turística?,"Transforma consultas en lenguaje natural a código SQL, ejecuta consultas en la base de datos y proporciona informes detallados de los resultados en lenguaje natural.","Analiza datos de sistemas HVAC para detectar anomalías usando modelos de machine learning, preprocesa datos, realiza predicciones y entrega un informe detallado con observaciones relevantes y predicciones sobre el estado del sistema.","Procesa documentos para extracción de texto mediante OCR y detecta objetos escritos a mano como firmas, iniciales, redacciones o fechas usando un modelo YOLO ajustado, y ofrece una traducción y resumen del contenido destacando información clave e indicando la ubicación del contenido manuscrito.","Interactúa en conversaciones generales, respondiendo a preguntas y proporcionando información o asistencia sobre temas variados que no requieren acceso a bases de datos específicas, análisis de anomalías o procesamiento de documentos."
34,¿Cuál es la media de calorías por plato en los restaurantes vegetarianos según la base de datos de nutrición?,"Transforma consultas en lenguaje natural a código SQL, ejecuta consultas en la base de datos y proporciona informes detallados de los resultados en lenguaje natural.","Analiza datos de sistemas HVAC para detectar anomalías usando modelos de machine learning, preprocesa datos, realiza predicciones y entrega un informe detallado con observaciones relevantes y predicciones sobre el estado del sistema.","Procesa documentos para extracción de texto mediante OCR y detecta objetos escritos a mano como firmas, iniciales, redacciones o fechas usando un modelo YOLO ajustado, y ofrece una traducción y resumen del contenido destacando información clave e indicando la ubicación del contenido manuscrito.","Interactúa en conversaciones generales, respondiendo a preguntas y proporcionando información o asistencia sobre temas variados que no requieren acceso a bases de datos específicas, análisis de anomalías o procesamiento de documentos."
35,What is the mode of the age range of the customers renting action movies from the 'dvd_rental' database?,"Transforma consultas en lenguaje natural a código SQL, ejecuta consultas en la base de datos y proporciona informes detallados de los resultados en lenguaje natural.","Analiza datos de sistemas HVAC para detectar anomalías usando modelos de machine learning, preprocesa datos, realiza predicciones y entrega un informe detallado con observaciones relevantes y predicciones sobre el estado del sistema.","Procesa documentos para extracción de texto mediante OCR y detecta objetos escritos a mano como firmas, iniciales, redacciones o fechas usando un modelo YOLO ajustado, y ofrece una traducción y resumen del contenido destacando información clave e indicando la ubicación del contenido manuscrito.","Interactúa en conversaciones generales, respondiendo a preguntas y proporcionando información o asistencia sobre temas variados que no requieren acceso a bases de datos específicas, análisis de anomalías o procesamiento de documentos."
